AAH,"Aachen","Allemagne"
AAL,"Aalborg","Danemark"
AAR,"Aarhus (Tirstrup)","Danemark"
ABZ,"Aberdeen (Dyce)","Ecosse"
ABJ,"Abidjan (Port Bouet)","Côte d'Ivoire"
DFA,"Abu Dhabi (Al Dhafra Airport)","EAU"
AZI,"Abu Dhabi (Bettina)","EAU"
AUH,"Abu Dhabi (Nadia International)","EAU"
ABS,"Abu Simbel","Egypte"
ABV,"Abuja","Nigeria"
ACA,"Acapulco (J. Alvarez)","Mexique"
ACC,"Accra (Kotoka)","Ghana"
ADD,"Addis Ababa (Bole)","Ethiopie"
ADL,"Adelaide International","Australie"
ADE,"Aden (International)","Yémen"
AJY,"Agades (Manu Dayak)","Niger"
AGA,"Agadir (Al Massira)","Maroc"
AGF,"Agen","France"
AGR,"Agra","Inde"
AMD,"Ahmedabad","Inde"
AJA,"Ajaccio (Campo Dell'Oro)","France"
LBI,"Albi","France"
ABQ,"Albuquerque International","USA"
ALP,"Alep","Syrie"
ALY,"Alexandrie","Egypte"
ALG,"Alger (Houari Boumediene)","Algérie"
AHO,"Alghero (Fertilia)","Italie"
ALC,"Alicante","Espagne"
ASP,"Alice Springs","Australie"
ALA,"Almaty (Alma Ata)","Kazakhstan"
ADJ,"Amman (Marka)","Jordanie"
AMM,"Amman (Queen Alia Inter.)","Jordanie"
ATQ,"Amritsar","Inde"
AMS,"Amsterdam (Schiphol)","Pays Bas"
SPL,"Amsterdam (Schiphol)","Pays Bas"
MRI,"Anchorage (Merrill Field)","Alaska"
ANC,"Anchorage Internat. Airport","Alaska"
ASD,"Andros International","Bahamas"
ANE,"Angers","France"
ANG,"Angoulême","France"
AXA,"Anguilla (The Valley)","Anguilla"
AJN,"Anjouan","Comores"
ANK,"Ankara (Esenboga)","Turquie"
ESB,"Ankara (Esenboga)","Turquie"
AAE,"Annaba (El Mellah)","Algérie"
AYT,"Antalya","Turquie"
TNR,"Antananarivo (Ivato)","Madagascar"
ANU,"Antigua (Saint John's)","Antigua"
ANF,"Antofagasta (Cerro Moreno)","Chili"
ANR,"Anvers (Deurne)","Belgique"
FGI,"Apia (Fabali Si)","Samoa"
APW,"Apia (Faleolo)","Samoa"
AQJ,"Aqaba","Jordanie"
AQP,"Arequipa (Rodriguez Ballon)","Pérou"
ACE,"Arrecife (Lanzarote)","Canaries"
ARK,"Arusha","Tanzanie"
ASB,"Ashkhabad","Turkménistan"
ASM,"Asmara (Yohannes IV)","Erythrée"
ASU,"Asuncion (Stroessner)","Paraguay"
ASW,"Aswan","Egypte"
ATR,"Atar","Mauritanie"
ATH,"Athens (Hellinikon Internat.)","Grèce"
JAO,"Atlanta (Beaver Ruin Airport)","USA"
FTY,"Atlanta (Brown Field)","USA"
PDK,"Atlanta (Dekalb Peachtree Airport)","USA"
ATL,"Atlanta International Airport","USA"
MHB,"Auckland (Mechanics Bay)","Nouvelle Zélande"
AKL,"Auckland International","Nouvelle Zélande"
AUR,"Aurillac","France"
AUF,"Auxerre","France"
AVN,"Avignon (Caumont)","France"
AYQ,"Ayers Rock","Australie"
BGW,"Bagdad (Metropolitan Area)","Irak"
BAH,"Bahrain Muharraq Internat.","Bahrain"
YBC,"Baie Comeau","Qébéc, Canada"
BAK,"Baku Bina Internat. Airport","Azerbaijan"
BSL,"Bâle/Mulhouse (Euro Airport)","Suisse"
EAP,"Bâle/Mulhouse","Suisse/France"
BWI,"Baltimore/Washington Internat.","USA"
WGL,"Baltra Island","Galapagos, Equateur"
BKO,"Bamako (Senou)","Mali"
BWN,"Bandar Seri Begwan Internat.","Brunei"
BKK,"Bangkok (Don Muang Internat.)","Thailande"
BGF,"Bangui (M'Poko)","Centrafrique"
BJL,"Banjul (Yundum)","Gambie"
BRX,"Barahona","République Dominicaine"
BBQ,"Barbuda (Codrington)","Antigua et Barbuda"
BLA,"Barcelona (J. A. Anzoategui)","Venezuela"
BCN,"Barcelone Airport","Espagne"
BRI,"Bari (Palese Macchie)","Italie"
BBR,"Basse Terre","Guadeloupe"
BIA,"Bastia (Poretta)","France"
BSG,"Bata","Guinée Equatoriale"
BVA,"Beauvais (Tille)","France"
PEK,"Beijing (Capital)","Chine"
BJS,"Beijing Metropolitan Airport","Chine"
BEW,"Beira","Mozambique"
BJA,"Bejaia (Soummam)","Algérie"
BEL,"Belem (Vale de Caes)","Brésil"
BFS,"Belfast (Internat. Airport)","Irlande du Nord"
BHD,"Belfast City Airport","Irlande du Nord"
BEG,"Belgrade (N. Tesla Internat.)","Serbie"
BJY,"Belgrade","Serbie"
TZA,"Belize City (Municipal)","Belize"
BZE,"Belize International Airport","Belize"
BHZ,"Belo Horizonte (Confins)","Brésil"
PLU,"Belo Horizonte","Brésil"
CNF,"Belo Horizonte","MG, Brésil"
BEN,"Benghazi (Benina)","Libye"
BQU,"Bequia","St. Vincent et Grenadines"
BGY,"Bergamo","Italie"
BGO,"Bergen (Flesland)","Norvège"
EGC,"Bergerac","France"
BER,"Berlin (Metropolitan Airport)","Allemagne"
SXF,"Berlin (Schoenefeld)","Allemagne"
TXL,"Berlin (Tegel)","Allemagne"
THF,"Berlin (Tempelhof)","Allemagne"
BDA,"Bermuda (Kindley Field)","Bermudes"
BRN,"Berne","Suisse"
ZDJ,"Berne","Suisse"
BEY,"Beyrouth International Airport","Liban"
BZR,"Béziers","France"
BIQ,"Biarritz","France"
BIO,"Bilbao","Espagne"
BLL,"Billund","Danemark"
BHX,"Birmingham Internat. Airport","Angleterre"
FRU,"Bishkek (Frunze)","Kirghizistan"
BSK,"Biskra","Algérie"
BXO,"Bissau (Bissallanca)","Guinée Bissau"
BLZ,"Blantyre (Chilika)","Malawi"
BVB,"Boa Vista","Brésil"
BVC,"Boavista","Cap Vert"
BOO,"Bodo","Norvège"
BOG,"Bogota (Eldorado)","Colombie"
BLQ,"Bologna (Giuseppe Marconi)","Italie"
BOM,"Bombay (Ch. Shivaji Int.)","Inde"
BON,"Bonaire (Flamingo)","Antilles Néerl."
BNJ,"Bonn (Wahn)","Allemagne"
BOB,"Bora Bora","Polynésie Française"
BOD,"Bordeaux (Merignac)","France"
BOS,"Boston (Logan Internat.)","USA"
BOH,"Bournemouth","Angleterre"
BGZ,"Braga","Portugal"
BSB,"Brasilia Internacional","Brésil"
BTS,"Bratislava (Ivanka Airport)","Slovaquie"
XLW,"Bremen (Lemwerder)","Allemagne"
BRE,"Bremen (Nieuenland)","Allemagne"
BES,"Brest (Guipavas)","France"
BGI,"Bridgetown (G. Adams Int.)","Barbade"
BDS,"Brindisi (Casale)","Italie"
BNE,"Brisbane (International)","Australie"
BRS,"Bristol (Lulsgate)","Angleterre"
BVE,"Brive","France"
