Bambilor,11,5
Bargny,0,5
Biscuiterie,4,1
Cambérène,7,1
Dakar,0,1,ville
Dalifort,8,4
Diamaguène Sicap Mbao,12,4
Diamniadio,3,5
Dieuppeul / Derklé,4,1
Djiddah Thiaroye Kaw,8,4
Fann / Point E / Amitié,2,1
Golf Sud,10,2
Gorée,0,1
Grand Dakar,4,1
Grand Yoff,7,1
Guédiawaye,0,2,ville
Gueule Tapée / Fass / Colobane,2,1
Guinaw Rails Nord,8,4
Guinaw Rails Sud,8,4
Hann / Bel-Air,4,1
HLM,4,1
Jaxaay / Parcelles Assainies,5,3
Keur Massar Nord,6,3
Keur Massar Sud,5,3
Malika,6,3
Mbao,12,4
Médina Gounass,13,2
Médina,2,1
Mermoz / Sacré-Cœur,1,1
Ndiarème Limamoulaye,13,2
Ngor,1,1
Ouakam,1,1
Parcelles Assainies,7,1
Patte d’Oie,7,1
Pikine Est,8,4
Pikine Nord,8,4
Pikine Ouest,8,4
Pikine,0,4,ville
Plateau,2,1
Rufisque Est,9,5
Rufisque Nord,9,5
Rufisque Ouest,9,5
Rufisque,0,5,ville
Sam Notaire,10,2
Sangalkam,11,5
Sendou,0,5
Sicap liberté,4,1
Sébikotane,3,5
Thiaroye Gare,12,4
Thiaroye sur Mer,12,4
Tivaouane Diacksao,12,4
Tivaouane Peulh / Niaga,11,5
Wakhinane Nimzatt,13,2
Yenne,3,5
Yeumbeul Nord,14,3
Yeumbeul Sud,14,3
Yoff,1,1
