A.Dieye,56,14,3
Abattoirs 1,28,2,1
Abattoirs 2,28,2,1
Abattoirs 3,28,2,1
Abdou Bass,56,14,3
Abdou Ka,7,12,4
Abdou Ndiaye,7,12,4
Abdou Samb,50,12,4
Abdoulaye Seck,56,14,3
Ablaye Ndiaye,56,14,3
Aby Sène (Ben Baraque 2),55,14,3
Adama Thioub,55,14,3
Air Afrique,57,1,1
Air France,57,1,1
Air Sénégal,57,1,1
Alassane Mbow,56,14,3
Alia Diène,57,1,1
Aliou Diallo,24,5,3
Aliou Gadiaga,30,13,2
Aliou Ndiaye,24,5,3
Alioune Gadiaga,25,6,3
Alioune Ndiaye,25,6,3
Alioune Sène,25,6,3
Almadies Keur Massar,23,6,3
Almadies,31,1,1
Alminko,53,13,2
Alpha Ndiaye,55,14,3
Alwar,40,9,5
Aly Camara,36,8,4
Aly Ngoné,10,8,4
Ama Wone,53,13,2
Amitié 1,11,2,1
Angle Mousse,53,13,2
Arafat / Semou,44,10,2
Arafat 1,40,9,5
Arafat 2,40,9,5
Arafat 3,40,9,5
Arafat,15,7,1
Arafat,23,6,3
Arafat,24,5,3
Arafat,7,12,4
Arouna Sall,27,13,2
Asecna,55,14,3
Assane Diop,53,13,2
Aïnoumady 3,55,14,3
Aïnoumady 4,55,14,3
Aïnoumady 5,55,14,3
Aïnoumady,24,5,3
Aïnoumady,7,12,4
Aïnoumane 1,36,8,4
Aïnoumane 2,10,8,4
Aïnoumane 2,19,8,4
Aïnoumane 2,36,8,4
Aïnoumane 3,10,8,4
Aïnoumane,10,8,4
Aïnoumane,19,8,4
Aïnoumane,41,9,5
Bagdad 1,10,8,4
Bagdad,10,8,4
Ballon (Terme Sud),32,1,1
Bamba Diallo,55,14,3
Bambylor,45,11,5
Bara Faye,55,14,3
Barrage (Penthior),54,3,5
Baye Laye,53,13,2
Baye s. Dieng,56,14,3
Bceao Océan,57,1,1
Belvédère 2,6,8,4
Belvédère Assurances,6,8,4
Belvédère,6,8,4
Ben Baraque 1 (Ibou Kébé),55,14,3
Ben Baraque 4,55,14,3
Beuno Ba,52,11,5
Birane Niang,50,12,4
Biscuiterie 1A,3,4,1
Biscuiterie 1C,3,4,1
Biscuiterie 5,3,4,1
Biscuiterie Touba,3,4,1
Bopp,3,4,1
Boulga,32,1,1
Boune,23,6,3
Boune,56,14,3
Cambérène 2,4,7,1
Capec,26,12,4
Castor Sotrac Ouest,23,6,3
Castors 1,9,4,1
Castors 2,9,4,1
Castors 3,9,4,1
Cayor,4,7,1
Centenaire,28,2,1
Cerf Volant,14,4,1
Champs de Courses,27,13,2
Champs de Courses,40,9,5
Champs de Courses,35,8,4
Chantier Dalifort,6,8,4
Cheikh Diaw,24,5,3
Cheikh Gueye,56,14,3
Cheikh Kébé,44,10,2
Cheikh Ndao,56,14,3
Cheikh Ngom,53,13,2
Cheikh Samb,44,10,2
Cheikh Sarr,27,13,2
Cheikh Wade,30,13,2
Cité 1,2,0,5
Cité 2,2,0,5
Cité 2,37,8,4
Cité 3,35,8,4
Cité Adama Diop,44,10,2
Cité Ady Niang,20,4,1
Cité Air Afrique,53,13,2
Cité Apecsy (Yoff Extension),57,1,1
Cité Asecna 1,32,1,1
Cité Asecna 2,32,1,1
Cité Asecna Castors,32,1,1
Cité Asecna,42,9,5
Cité Asecna,57,1,1
Cité Asecna,6,8,4
Cité Assemblée,32,1,1
Cité Atepa Mill,12,10,2
Cité Azur 1,57,1,1
Cité Azur 2,57,1,1
Cité Azur 3,57,1,1
Cité Bara Mboup,57,1,1
Cité Barry et Ly,44,10,2
Cité Bastos 1,15,7,1
Cité Bata,42,9,5
Cité Batisse,6,8,4
Cité Bceao 1,57,1,1
Cité Bceao,34,7,1
Cité Bceao,57,1,1
Cité Bellevue,20,4,1
Cité Biagui,53,13,2
Cité Biagui,57,1,1
Cité Castors 3,2,0,5
Cité Castors,40,9,5
Cité CDE,57,1,1
Cité Cheikh Ahmadou Bamba,3,4,1
Cité Comico,53,13,2
Cité Conachap,26,12,4
Cité Cours Suprême,53,13,2
Cité CPI,15,7,1
Cité CSE,15,7,1
Cité Darou Salam,6,8,4
Cité des Assureurs,6,8,4
Cité des Eaux et Forêts,6,8,4
Cité des Eaux,21,4,1
Cité des Forces Armées,6,8,4
Cité Diack Sao,57,1,1
Cité Diokoul Gabon,42,9,5
Cité Diounkhop,44,10,2
Cité Djily Mbaye,57,1,1
Cité Douane,4,7,1
Cité Dubaï,22,5,3
Cité Elevage,9,4,1
Cité Elizabeth Diouf,20,4,1
Cité Enseignant,12,10,2
Cité Enseignement Supérieur,32,1,1
Cité Fadia,12,10,2
Cité Famara Ibrahima Sagna,50,12,4
Cité Faycal,12,10,2
Cité Filao,42,9,5
Cité Gendarmerie,22,5,3
Cité Gendarmerie,42,9,5 
Cité Géographie,9,4,1
Cité Gia,9,4,1
Cité Hacienda,6,8,4
Cité Hilal,6,8,4
Cité Icotaf 1,37,8,4
Cité Imorama,20,4,1
Cité Impôts et Domaine,34,7,1
Cité Isra,20,4,1
Cité Isra,50,12,4
Cité Keretou,15,7,1
Cité Keur Damel,34,7,1
Cité Keur Khadim 1,15,7,1
Cité Keur Khadim 2,15,7,1
Cité Keuri Yarakh,20,4,1
Cité Libass Niang,15,7,1
Cité Lobatt Fall,37,8,4
Cité Magistrat,32,1,1
Cité Mame Dior,24,5,3
Cité Mame Sira,26,12,4
Cité Mandela,7,12,4
Cité Marguery,9,4,1
Cité Marinas,20,4,1
Cité Marine 3,6,8,4
Cité Marine,6,8,4
Cité Marine,9,4,1
Cité Millionnaire,15,7,1
Cité Millionnaire,42,9,5
Cité Millionnaire,7,12,4
Cité Mimram Cbao,23,6,3
Cité Minière,9,4,1
Cité Nations-Unies,4,7,1
Cité Ndar,3,4,1
Cité Ndeye Marie,26,12,4
Cité Ousmane Diop,15,7,1
Cité Palene,57,1,1
Cité Pépinière,35,8,4
Cité Port,21,4,1
Cité Poste,57,1,1
Cité Prestation,9,4,1
Cité Rochette,49,12,4
Cité Rondon,53,13,2
Cité Sabe,7,12,4
Cité Samba Kane,26,12,4
Cité Sandial,20,4,1
Cité Sapi,50,12,4
Cité Sar,50,12,4
Cité Sar,53,13,2
Cité Scat Urbam Mariste,20,4,1
Cité Scat Urbam,15,7,1
Cité SDE,53,13,2
Cité Senelec,53,13,2
Cité Sentenac,53,13,2
Cité Sepco 2,50,12,4
Cité Shelter,15,7,1
Cité SHS,12,10,2
